2025-04-03 16:23:36 install m4:amd64 <none> 1.4.19-3
2025-04-03 16:23:36 status half-installed m4:amd64 1.4.19-3
2025-04-03 16:23:36 status unpacked m4:amd64 1.4.19-3
2025-04-03 16:23:36 install autoconf:all <none> 2.71-3
2025-04-03 16:23:36 status half-installed autoconf:all 2.71-3
2025-04-03 16:23:36 status unpacked autoconf:all 2.71-3
2025-04-03 16:23:36 install autotools-dev:all <none> 20220109.1
2025-04-03 16:23:36 status half-installed autotools-dev:all 20220109.1
2025-04-03 16:23:36 status unpacked autotools-dev:all 20220109.1
2025-04-03 16:23:36 install automake:all <none> 1:1.16.5-1.3
2025-04-03 16:23:36 status half-installed automake:all 1:1.16.5-1.3
2025-04-03 16:23:36 status unpacked automake:all 1:1.16.5-1.3
2025-04-03 16:23:36 install binutils-common:amd64 <none> 2.40-2
2025-04-03 16:23:36 status half-installed binutils-common:amd64 2.40-2
2025-04-03 16:23:36 status unpacked binutils-common:amd64 2.40-2
2025-04-03 16:23:36 install libbinutils:amd64 <none> 2.40-2
2025-04-03 16:23:36 status half-installed libbinutils:amd64 2.40-2
2025-04-03 16:23:37 status unpacked libbinutils:amd64 2.40-2
2025-04-03 16:23:37 install libctf-nobfd0:amd64 <none> 2.40-2
2025-04-03 16:23:37 status half-installed libctf-nobfd0:amd64 2.40-2
2025-04-03 16:23:37 status unpacked libctf-nobfd0:amd64 2.40-2
2025-04-03 16:23:37 install libctf0:amd64 <none> 2.40-2
2025-04-03 16:23:37 status half-installed libctf0:amd64 2.40-2
2025-04-03 16:23:37 status unpacked libctf0:amd64 2.40-2
2025-04-03 16:23:37 install libgprofng0:amd64 <none> 2.40-2
2025-04-03 16:23:37 status half-installed libgprofng0:amd64 2.40-2
2025-04-03 16:23:37 status unpacked libgprofng0:amd64 2.40-2
2025-04-03 16:23:37 install libjansson4:amd64 <none> 2.14-2
2025-04-03 16:23:37 status half-installed libjansson4:amd64 2.14-2
2025-04-03 16:23:37 status unpacked libjansson4:amd64 2.14-2
2025-04-03 16:23:37 install binutils-x86-64-linux-gnu:amd64 <none> 2.40-2
2025-04-03 16:23:37 status half-installed binutils-x86-64-linux-gnu:amd64 2.40-2
2025-04-03 16:23:37 status unpacked binutils-x86-64-linux-gnu:amd64 2.40-2
2025-04-03 16:23:37 install binutils:amd64 <none> 2.40-2
2025-04-03 16:23:37 status half-installed binutils:amd64 2.40-2
2025-04-03 16:23:37 status unpacked binutils:amd64 2.40-2
2025-04-03 16:23:37 install libc-dev-bin:amd64 <none> 2.36-9+deb12u10
2025-04-03 16:23:37 status half-installed libc-dev-bin:amd64 2.36-9+deb12u10
2025-04-03 16:23:37 status unpacked libc-dev-bin:amd64 2.36-9+deb12u10
2025-04-03 16:23:37 install linux-libc-dev:amd64 <none> 6.1.129-1
2025-04-03 16:23:37 status half-installed linux-libc-dev:amd64 6.1.129-1
2025-04-03 16:23:38 status unpacked linux-libc-dev:amd64 6.1.129-1
2025-04-03 16:23:38 install libcrypt-dev:amd64 <none> 1:4.4.33-2
2025-04-03 16:23:38 status half-installed libcrypt-dev:amd64 1:4.4.33-2
2025-04-03 16:23:38 status unpacked libcrypt-dev:amd64 1:4.4.33-2
2025-04-03 16:23:38 install libkrb5support0:amd64 <none> 1.20.1-2+deb12u2
2025-04-03 16:23:38 status half-installed libkrb5support0:amd64 1.20.1-2+deb12u2
2025-04-03 16:23:38 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u2
