LAST SEEN   TYPE      REASON              OBJECT                        MESSAGE
28m         Normal    SuccessfulDelete    replicaset/nginx-5696bc6558   Deleted pod: nginx-5696bc6558-9hj6m
28m         Normal    SuccessfulDelete    replicaset/nginx-5696bc6558   Deleted pod: nginx-5696bc6558-4nk7d
28m         Normal    SuccessfulDelete    replicaset/nginx-5696bc6558   Deleted pod: nginx-5696bc6558-6bs4c
28m         Normal    SuccessfulDelete    replicaset/nginx-5696bc6558   Deleted pod: nginx-5696bc6558-xk5tj
25m         Normal    SuccessfulCreate    replicaset/nginx-5696bc6558   Created pod: nginx-5696bc6558-z45rl
25m         Normal    SuccessfulCreate    replicaset/nginx-5696bc6558   Created pod: nginx-5696bc6558-b4mhh
25m         Normal    SuccessfulCreate    replicaset/nginx-5696bc6558   Created pod: nginx-5696bc6558-mh94g
25m         Normal    SuccessfulCreate    replicaset/nginx-5696bc6558   Created pod: nginx-5696bc6558-gjp5h
22m         Normal    SuccessfulDelete    replicaset/nginx-5696bc6558   Deleted pod: nginx-5696bc6558-z45rl
22m         Normal    SuccessfulDelete    replicaset/nginx-5696bc6558   Deleted pod: nginx-5696bc6558-b4mhh
22m         Normal    SuccessfulDelete    replicaset/nginx-5696bc6558   Deleted pod: nginx-5696bc6558-mh94g
22m         Normal    SuccessfulDelete    replicaset/nginx-5696bc6558   Deleted pod: nginx-5696bc6558-gjp5h
10m         Normal    SuccessfulCreate    replicaset/nginx-5696bc6558   Created pod: nginx-5696bc6558-smsvp
10m         Normal    SuccessfulCreate    replicaset/nginx-5696bc6558   Created pod: nginx-5696bc6558-vrz97
10m         Normal    SuccessfulCreate    replicaset/nginx-5696bc6558   Created pod: nginx-5696bc6558-75xm7
10m         Normal    SuccessfulCreate    replicaset/nginx-5696bc6558   Created pod: nginx-5696bc6558-4fb6h
22m         Normal    Scheduled           pod/nginx-6f7db544d7-2rw8c    Successfully assigned default/nginx-6f7db544d7-2rw8c to minikube
22m         Normal    Pulled              pod/nginx-6f7db544d7-2rw8c    Container image "wojzacharski/nginx-app:1.0" already present on machine
22m         Normal    Created             pod/nginx-6f7db544d7-2rw8c    Created container: nginx-app
22m         Normal    Started             pod/nginx-6f7db544d7-2rw8c    Started container nginx-app
10m         Normal    Killing             pod/nginx-6f7db544d7-2rw8c    Stopping container nginx-app
38m         Normal    Scheduled           pod/nginx-6f7db544d7-54d9l    Successfully assigned default/nginx-6f7db544d7-54d9l to minikube
38m         Normal    Pulled              pod/nginx-6f7db544d7-54d9l    Container image "wojzacharski/nginx-app:1.0" already present on machine
38m         Normal    Created             pod/nginx-6f7db544d7-54d9l    Created container: nginx-app
38m         Normal    Started             pod/nginx-6f7db544d7-54d9l    Started container nginx-app
30m         Normal    Killing             pod/nginx-6f7db544d7-54d9l    Stopping container nginx-app
44m         Normal    Scheduled           pod/nginx-6f7db544d7-6nmvw    Successfully assigned default/nginx-6f7db544d7-6nmvw to minikube
44m         Normal    Pulled              pod/nginx-6f7db544d7-6nmvw    Container image "wojzacharski/nginx-app:1.0" already present on machine
44m         Normal    Created             pod/nginx-6f7db544d7-6nmvw    Created container: nginx-app
44m         Normal    Started             pod/nginx-6f7db544d7-6nmvw    Started container nginx-app
40m         Normal    Killing             pod/nginx-6f7db544d7-6nmvw    Stopping container nginx-app
38m         Normal    Scheduled           pod/nginx-6f7db544d7-76rkr    Successfully assigned default/nginx-6f7db544d7-76rkr to minikube
38m         Normal    Pulled              pod/nginx-6f7db544d7-76rkr    Container image "wojzacharski/nginx-app:1.0" already present on machine
38m         Normal    Created             pod/nginx-6f7db544d7-76rkr    Created container: nginx-app
38m         Normal    Started             pod/nginx-6f7db544d7-76rkr    Started container nginx-app
29m         Normal    Killing             pod/nginx-6f7db544d7-76rkr    Stopping container nginx-app
28m         Normal    Scheduled           pod/nginx-6f7db544d7-8c4vn    Successfully assigned default/nginx-6f7db544d7-8c4vn to minikube
28m         Normal    Pulled              pod/nginx-6f7db544d7-8c4vn    Container image "wojzacharski/nginx-app:1.0" already present on machine
28m         Normal    Created             pod/nginx-6f7db544d7-8c4vn    Created container: nginx-app
28m         Normal    Started             pod/nginx-6f7db544d7-8c4vn    Started container nginx-app
25m         Normal    Killing             pod/nginx-6f7db544d7-8c4vn    Stopping container nginx-app
22m         Normal    Scheduled           pod/nginx-6f7db544d7-cgb28    Successfully assigned default/nginx-6f7db544d7-cgb28 to minikube
22m         Normal    Pulled              pod/nginx-6f7db544d7-cgb28    Container image "wojzacharski/nginx-app:1.0" already present on machine
22m         Normal    Created             pod/nginx-6f7db544d7-cgb28    Created container: nginx-app
22m         Normal    Started             pod/nginx-6f7db544d7-cgb28    Started container nginx-app
19m         Normal    Killing             pod/nginx-6f7db544d7-cgb28    Stopping container nginx-app
47m         Normal    Killing             pod/nginx-6f7db544d7-cggxg    Stopping container nginx-app
28m         Normal    Scheduled           pod/nginx-6f7db544d7-cn2vh    Successfully assigned default/nginx-6f7db544d7-cn2vh to minikube
28m         Normal    Pulled              pod/nginx-6f7db544d7-cn2vh    Container image "wojzacharski/nginx-app:1.0" already present on machine
28m         Normal    Created             pod/nginx-6f7db544d7-cn2vh    Created container: nginx-app
28m         Normal    Started             pod/nginx-6f7db544d7-cn2vh    Started container nginx-app
25m         Normal    Killing             pod/nginx-6f7db544d7-cn2vh    Stopping container nginx-app
44m         Normal    Scheduled           pod/nginx-6f7db544d7-d4z8t    Successfully assigned default/nginx-6f7db544d7-d4z8t to minikube
44m         Normal    Pulled              pod/nginx-6f7db544d7-d4z8t    Container image "wojzacharski/nginx-app:1.0" already present on machine
44m         Normal    Created             pod/nginx-6f7db544d7-d4z8t    Created container: nginx-app
44m         Normal    Started             pod/nginx-6f7db544d7-d4z8t    Started container nginx-app
40m         Normal    Killing             pod/nginx-6f7db544d7-d4z8t    Stopping container nginx-app
28m         Normal    Scheduled           pod/nginx-6f7db544d7-d8s65    Successfully assigned default/nginx-6f7db544d7-d8s65 to minikube
28m         Normal    Pulled              pod/nginx-6f7db544d7-d8s65    Container image "wojzacharski/nginx-app:1.0" already present on machine
28m         Normal    Created             pod/nginx-6f7db544d7-d8s65    Created container: nginx-app
28m         Normal    Started             pod/nginx-6f7db544d7-d8s65    Started container nginx-app
25m         Normal    Killing             pod/nginx-6f7db544d7-d8s65    Stopping container nginx-app
38m         Normal    Scheduled           pod/nginx-6f7db544d7-d9gq6    Successfully assigned default/nginx-6f7db544d7-d9gq6 to minikube
38m         Normal    Pulled              pod/nginx-6f7db544d7-d9gq6    Container image "wojzacharski/nginx-app:1.0" already present on machine
38m         Normal    Created             pod/nginx-6f7db544d7-d9gq6    Created container: nginx-app
38m         Normal    Started             pod/nginx-6f7db544d7-d9gq6    Started container nginx-app
29m         Normal    Killing             pod/nginx-6f7db544d7-d9gq6    Stopping container nginx-app
41m         Normal    Scheduled           pod/nginx-6f7db544d7-hm9fj    Successfully assigned default/nginx-6f7db544d7-hm9fj to minikube
41m         Normal    Pulled              pod/nginx-6f7db544d7-hm9fj    Container image "wojzacharski/nginx-app:1.0" already present on machine
41m         Normal    Created             pod/nginx-6f7db544d7-hm9fj    Created container: nginx-app
41m         Normal    Started             pod/nginx-6f7db544d7-hm9fj    Started container nginx-app
40m         Normal    Killing             pod/nginx-6f7db544d7-hm9fj    Stopping container nginx-app
47m         Normal    Killing             pod/nginx-6f7db544d7-jxx6v    Stopping container nginx-app
47m         Normal    Killing             pod/nginx-6f7db544d7-l7kb2    Stopping container nginx-app
47m         Normal    Killing             pod/nginx-6f7db544d7-ljxm6    Stopping container nginx-app
44m         Normal    Scheduled           pod/nginx-6f7db544d7-m6dcb    Successfully assigned default/nginx-6f7db544d7-m6dcb to minikube
44m         Normal    Pulled              pod/nginx-6f7db544d7-m6dcb    Container image "wojzacharski/nginx-app:1.0" already present on machine
44m         Normal    Created             pod/nginx-6f7db544d7-m6dcb    Created container: nginx-app
44m         Normal    Started             pod/nginx-6f7db544d7-m6dcb    Started container nginx-app
40m         Normal    Killing             pod/nginx-6f7db544d7-m6dcb    Stopping container nginx-app
38m         Normal    Scheduled           pod/nginx-6f7db544d7-pjtgx    Successfully assigned default/nginx-6f7db544d7-pjtgx to minikube
38m         Normal    Pulled              pod/nginx-6f7db544d7-pjtgx    Container image "wojzacharski/nginx-app:1.0" already present on machine
38m         Normal    Created             pod/nginx-6f7db544d7-pjtgx    Created container: nginx-app
38m         Normal    Started             pod/nginx-6f7db544d7-pjtgx    Started container nginx-app
29m         Normal    Killing             pod/nginx-6f7db544d7-pjtgx    Stopping container nginx-app
41m         Normal    Scheduled           pod/nginx-6f7db544d7-qmdwc    Successfully assigned default/nginx-6f7db544d7-qmdwc to minikube
41m         Normal    Pulled              pod/nginx-6f7db544d7-qmdwc    Container image "wojzacharski/nginx-app:1.0" already present on machine
41m         Normal    Created             pod/nginx-6f7db544d7-qmdwc    Created container: nginx-app
41m         Normal    Started             pod/nginx-6f7db544d7-qmdwc    Started container nginx-app
40m         Normal    Killing             pod/nginx-6f7db544d7-qmdwc    Stopping container nginx-app
44m         Normal    Scheduled           pod/nginx-6f7db544d7-rwvhq    Successfully assigned default/nginx-6f7db544d7-rwvhq to minikube
44m         Normal    Pulled              pod/nginx-6f7db544d7-rwvhq    Container image "wojzacharski/nginx-app:1.0" already present on machine
44m         Normal    Created             pod/nginx-6f7db544d7-rwvhq    Created container: nginx-app
44m         Normal    Started             pod/nginx-6f7db544d7-rwvhq    Started container nginx-app
40m         Normal    Killing             pod/nginx-6f7db544d7-rwvhq    Stopping container nginx-app
44m         Normal    Scheduled           pod/nginx-6f7db544d7-v2xjs    Successfully assigned default/nginx-6f7db544d7-v2xjs to minikube
44m         Normal    Pulled              pod/nginx-6f7db544d7-v2xjs    Container image "wojzacharski/nginx-app:1.0" already present on machine
44m         Normal    Created             pod/nginx-6f7db544d7-v2xjs    Created container: nginx-app
44m         Normal    Started             pod/nginx-6f7db544d7-v2xjs    Started container nginx-app
39m         Normal    Killing             pod/nginx-6f7db544d7-v2xjs    Stopping container nginx-app
22m         Normal    Scheduled           pod/nginx-6f7db544d7-wdj7h    Successfully assigned default/nginx-6f7db544d7-wdj7h to minikube
22m         Normal    Pulled              pod/nginx-6f7db544d7-wdj7h    Container image "wojzacharski/nginx-app:1.0" already present on machine
22m         Normal    Created             pod/nginx-6f7db544d7-wdj7h    Created container: nginx-app
22m         Normal    Started             pod/nginx-6f7db544d7-wdj7h    Started container nginx-app
10m         Normal    Killing             pod/nginx-6f7db544d7-wdj7h    Stopping container nginx-app
47m         Normal    Killing             pod/nginx-6f7db544d7-wf2n5    Stopping container nginx-app
22m         Normal    Scheduled           pod/nginx-6f7db544d7-wmtx8    Successfully assigned default/nginx-6f7db544d7-wmtx8 to minikube
22m         Normal    Pulled              pod/nginx-6f7db544d7-wmtx8    Container image "wojzacharski/nginx-app:1.0" already present on machine
22m         Normal    Created             pod/nginx-6f7db544d7-wmtx8    Created container: nginx-app
22m         Normal    Started             pod/nginx-6f7db544d7-wmtx8    Started container nginx-app
10m         Normal    Killing             pod/nginx-6f7db544d7-wmtx8    Stopping container nginx-app
28m         Normal    Scheduled           pod/nginx-6f7db544d7-wqv82    Successfully assigned default/nginx-6f7db544d7-wqv82 to minikube
28m         Normal    Pulled              pod/nginx-6f7db544d7-wqv82    Container image "wojzacharski/nginx-app:1.0" already present on machine
28m         Normal    Created             pod/nginx-6f7db544d7-wqv82    Created container: nginx-app
28m         Normal    Started             pod/nginx-6f7db544d7-wqv82    Started container nginx-app
25m         Normal    Killing             pod/nginx-6f7db544d7-wqv82    Stopping container nginx-app
41m         Normal    Scheduled           pod/nginx-6f7db544d7-xpl6b    Successfully assigned default/nginx-6f7db544d7-xpl6b to minikube
41m         Normal    Pulled              pod/nginx-6f7db544d7-xpl6b    Container image "wojzacharski/nginx-app:1.0" already present on machine
41m         Normal    Created             pod/nginx-6f7db544d7-xpl6b    Created container: nginx-app
41m         Normal    Started             pod/nginx-6f7db544d7-xpl6b    Started container nginx-app
40m         Normal    Killing             pod/nginx-6f7db544d7-xpl6b    Stopping container nginx-app
44m         Normal    SuccessfulCreate    replicaset/nginx-6f7db544d7   Created pod: nginx-6f7db544d7-m6dcb
44m         Normal    SuccessfulCreate    replicaset/nginx-6f7db544d7   Created pod: nginx-6f7db544d7-rwvhq
44m         Normal    SuccessfulCreate    replicaset/nginx-6f7db544d7   Created pod: nginx-6f7db544d7-d4z8t
44m         Normal    SuccessfulCreate    replicaset/nginx-6f7db544d7   Created pod: nginx-6f7db544d7-6nmvw
44m         Normal    SuccessfulCreate    replicaset/nginx-6f7db544d7   Created pod: nginx-6f7db544d7-v2xjs
41m         Normal    SuccessfulCreate    replicaset/nginx-6f7db544d7   Created pod: nginx-6f7db544d7-qmdwc
41m         Normal    SuccessfulCreate    replicaset/nginx-6f7db544d7   Created pod: nginx-6f7db544d7-xpl6b
41m         Normal    SuccessfulCreate    replicaset/nginx-6f7db544d7   Created pod: nginx-6f7db544d7-hm9fj
40m         Normal    SuccessfulDelete    replicaset/nginx-6f7db544d7   Deleted pod: nginx-6f7db544d7-qmdwc
40m         Normal    SuccessfulDelete    replicaset/nginx-6f7db544d7   Deleted pod: nginx-6f7db544d7-d4z8t
40m         Normal    SuccessfulDelete    replicaset/nginx-6f7db544d7   Deleted pod: nginx-6f7db544d7-hm9fj
